col_0,3,5,8,C,E,L,N,S,T,Z,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
a,1.15775366851,-4.50813948562,-2.79516089424,-4.45770863199,0.290095622051,-4.90812512796,-4.21130821851,-4.7410710433,-3.69310248745,-3.76456145143,2.28882950346,-5.3601102517,-3.2304789655,-5.87790454478,-0.723847173508,-5.34602551182,-5.28006754403,-3.2304789655,-1.18452609357,-2.88217227123,-5.86953629511,-5.92271856057,-6.03562029078,-6.86496434755,-0.90903197905,-6.11429332285,-0.397265621442,-4.4285520477,-6.35827096107,-6.32951080889,-6.71623373519,-5.33890804405,-4.24741322315,-3.2304789655,-4.61185931182,-3.9807845599
b,-4.27877414023,-2.85625851567,-1.1432799243,-2.80582766204,-4.30606628251,-3.25624415802,-3.65803953723,-3.08919007335,-2.0412215175,-2.11268048148,-5.3601102517,3.2737053954,-0.479985706886,-4.22602357484,-5.24366680097,-3.69414454188,1.23162583028,-1.57859799555,-4.96199075258,-1.63575640939,-4.21765532517,-4.27083759063,-4.38373932083,-5.2130833776,-5.30924017803,-4.4624123529,1.2546153485,-4.97389565509,-4.70638999112,-4.67762983895,-5.06435276524,2.09679810822,-3.28867943377,-1.57859799555,-4.05859063054,-2.32890358995
c,-2.14914285402,-0.726627229468,0.986351361907,1.11556309339,-2.17643499631,-1.12661287181,-1.52840825103,-0.959558787148,1.47470412982,2.85016414878,-3.2304789655,-0.479985706886,1.64964557932,-0.150482139581,-3.11403551477,-1.56451325567,0.580886253799,1.24418047121,-2.83235946638,2.93622191218,0.396882610822,-2.14120630443,-2.25410803463,-3.0834520914,-3.17960889183,-2.3327810667,3.38424663471,-2.84426436889,-2.57675870492,-0.938560640309,-2.93472147904,-1.5573957879,-1.15904814756,1.93732765177,-1.92895934434,1.88016923793
d,-4.79656843331,-3.37405280875,2.14558827239,-1.02103686213,-4.8238605756,-3.7740384511,-4.17583383032,-3.60698436643,-2.55901581058,-1.93732759401,-5.87790454478,-4.22602357484,-0.150482139581,3.23312088904,-5.76146109406,-4.21193883496,-2.20007071811,-2.09639228864,-5.47978504567,-0.361791233248,-4.73544961825,0.529488110132,-4.90153361391,-5.73087767068,-5.82703447111,-4.98020664599,0.73682105542,-3.54577979912,-5.2241842842,-0.305075003807,-5.58214705833,-4.20482136719,-1.72703218517,-1.40324510808,-1.35750909875,0.372177941832
e,0.738296227592,-4.39169603489,-2.67871744351,-4.34126518126,1.87406573279,-4.79168167723,-5.19347705645,-2.67871744351,-3.57665903672,-3.6481180007,-0.723847173508,-5.24366680097,-3.11403551477,-5.76146109406,1.6987241477,-5.22958206109,-5.1636240933,-3.11403551477,0.783957391771,-3.86434110917,-2.49499630636,-5.80627510985,-5.91917684005,-6.74852089682,-2.01636395994,-5.99784987212,-0.280822170715,-6.50933317431,-3.35145575244,-6.21306735816,-1.80399973886,-4.52931741276,-4.82411695298,-2.42088833421,-5.59402814976,-3.86434110917
f,-4.26468940034,-2.84217377579,-1.12919518441,-2.79174292216,-4.29198154263,-3.24215941813,-3.64395479735,-3.07510533347,-2.02713677762,-2.0985957416,-5.34602551182,-3.69414454188,-1.56451325567,-4.21193883496,-5.22958206109,4.18972410054,-3.6141018342,0.0449246567613,-4.9479060127,-2.31481885007,-4.20357058529,-4.25675285075,-4.36965458095,-5.19899863772,-5.29515543815,-4.44832761302,1.26870008838,-4.95981091521,-4.69230525124,-4.66354509906,-5.05026802536,-3.67294233423,-3.27459469389,-1.56451325567,-4.04450589066,-2.31481885007
g,-4.19873143255,-2.776215808,-1.06323721662,0.218654024795,-4.22602357484,-0.131679012618,-3.57799682956,-2.31600018512,0.811409912411,0.269947319183,-5.28006754403,1.23162583028,0.580886253799,-2.20007071811,-5.1636240933,-3.6141018342,3.91979846587,-0.399942999213,-4.88194804491,1.9706468229,1.99795227359,-4.19079488296,-4.30369661316,-5.13304066993,-5.22919747036,-4.38236964523,1.33465805618,-4.89385294742,-4.62634728345,-4.59758713127,-3.37487214514,-3.60698436643,-3.20863672609,2.69109945415,-1.89910638119,-2.24886088228
h,-2.14914285402,-0.726627229468,0.986351361907,0.933241536593,-2.17643499631,1.76375888608,-1.52840825103,-0.959558787148,1.18702205737,0.710097985279,-3.2304789655,-1.57859799555,1.24418047121,-2.09639228864,-3.11403551477,0.0449246567613,-0.399942999213,3.25908349175,-2.83235946638,1.59248716548,-2.08802403897,-2.14120630443,-2.25410803463,-3.0834520914,-3.17960889183,-2.3327810667,3.38424663471,-2.84426436889,-2.57675870492,-2.54799855274,-2.93472147904,-1.5573957879,-1.15904814756,2.63047483233,0.268265233,-0.199272303751
i,0.0695832098289,-4.1100199865,-0.451131246066,-4.05958913287,0.757336933408,-3.81685844828,-4.91180100806,-4.34295154418,-3.29498298833,-3.36644195231,-1.18452609357,-4.96199075258,-2.83235946638,-5.47978504567,0.783957391771,-4.9479060127,-4.88194804491,-2.83235946638,1.92252041512,-3.58266506078,-2.69882807375,-4.42598677279,-5.63750079166,-6.46684484843,-3.67262989096,-5.71617382373,0.000853877676741,-2.86036129593,-5.96015146195,-4.54509694865,-2.42629393796,-4.94078854493,-3.84929372403,-2.83235946638,0.121369902189,-0.943607731164
j,-2.89944844842,1.741943001,0.236045767507,2.63394104031,-2.92674059071,2.23395539796,-0.486954376202,-0.100426469114,0.724398535421,4.06243575592,-2.88217227123,-1.63575640939,2.93622191218,-0.361791233248,-3.86434110917,-2.31481885007,1.9706468229,1.59248716548,-3.58266506078,3.49307335834,-2.83832963337,-0.493616626028,-3.00441362903,-3.8337576858,-3.92991448623,-3.0830866611,2.63394104031,-3.59456996329,-3.32706429932,-3.29830414714,-3.68502707344,-2.3077013823,-1.90935374196,2.74516667542,0.876083122753,2.0461543754
k,-3.40190582252,-3.36568455908,-1.65270596771,-0.137199875108,-4.81549232593,-0.182151262971,-3.47431840009,-1.65270596771,1.75341753229,-2.6221065249,-5.86953629511,-4.21765532517,0.396882610822,-4.73544961825,-2.49499630636,-4.20357058529,1.99795227359,-2.08802403897,-2.69882807375,-2.83832963337,3.22974575351,-3.39396927292,-4.89316536424,-5.72250942101,-4.72005393277,-4.97183839632,0.74518930509,-5.4833216985,-5.21581603453,-5.18705588236,-1.9902598702,-4.19645311752,-3.79810547718,1.67317607673,-2.95857876152,-2.83832963337
l,-3.74277016043,-3.41886682454,-1.70588823317,-2.67528879036,-4.86867459139,2.02178919049,-4.22064784611,-3.65179838222,-1.91068264581,-1.9821416098,-5.92271856057,-4.27083759063,-2.14120630443,0.529488110132,-5.80627510985,-4.25675285075,-4.19079488296,-2.14120630443,-4.42598677279,-0.493616626028,-3.39396927292,3.62590629222,-4.9463476297,-5.77569168647,-5.8718484869,-5.02502066178,0.69200703963,-0.972155772494,-5.26899829999,-5.24023814782,-2.40808524925,-4.24963538298,-0.632411917772,-0.754911943307,0.871862503929,-1.50521753771
m,-4.9542841793,-3.53176855475,-1.81878996337,-3.48133770112,-4.98157632159,-3.93175419709,0.636263723268,-3.76470011243,-2.71673155658,-2.78819052056,-6.03562029078,-4.38373932083,-2.25410803463,-4.90153361391,-5.91917684005,-4.36965458095,-4.30369661316,-2.25410803463,-5.63750079166,-3.00441362903,-4.89316536424,-4.9463476297,3.65301707223,-3.69136883934,-5.9847502171,-5.13792239198,0.579105309428,-5.64940569416,-5.3819000302,-5.35313987802,-5.73986280432,-4.36253711318,-3.96418947284,-2.25410803463,-4.73410066961,-3.00441362903
n,-5.78362823607,0.594714446085,-2.64813402014,-4.31068175789,-5.81092037836,-4.76109825386,1.96077915213,-4.5940441692,-3.54607561335,-3.61753457733,-6.86496434755,-5.2130833776,-3.0834520914,-5.73087767068,-6.74852089682,-5.19899863772,-5.13304066993,-3.0834520914,-6.46684484843,-3.8337576858,-5.72250942101,-5.77569168647,-3.69136883934,2.51504462901,-6.81409427387,-5.96726644875,-0.250238747343,-6.47874975093,-6.21124408697,-6.18248393479,-3.0138587996,-5.19188116995,-4.79353352961,-3.0834520914,-5.56344472638,-3.8337576858
o,-0.611926877435,-4.45726941194,-2.74429082057,-4.40683855832,-0.813326977979,-4.85725505429,-5.25905043351,-4.69020096962,-3.64223241377,-3.71369137776,-0.90903197905,-5.30924017803,-3.17960889183,-5.82703447111,-2.01636395994,-5.29515543815,-5.22919747036,-3.17960889183,-3.67262989096,-3.92991448623,-4.72005393277,-5.8718484869,-5.9847502171,-6.81409427387,2.06525264777,-6.06342324918,-0.346395547771,-6.57490655136,-6.30740088739,-6.27864073522,1.31363270934,-5.28803797038,-4.19654314948,-3.17960889183,-5.65960152681,-3.92991448623
p,-5.03295721137,-3.61044158682,-1.89746299544,-3.56001073319,-5.06024935366,-4.01042722916,-4.41222260838,-3.8433731445,-2.79540458865,-2.86686355263,-6.11429332285,-4.4624123529,-2.3327810667,-4.98020664599,-5.99784987212,-4.44832761302,-4.38236964523,-2.3327810667,-5.71617382373,-3.0830866611,-4.97183839632,-5.02502066178,-5.13792239198,-5.96726644875,-6.06342324918,3.40297383398,0.500432277355,-5.72807872624,-5.46057306227,-5.43181291009,-5.81853583639,-4.44121014525,-4.04286250491,-2.3327810667,-4.81277370169,-3.0830866611
q,0.684070490034,2.10658611459,3.81956470596,2.15701696822,0.656778347746,1.70660047224,1.30480509303,1.87365455691,4.30791747388,2.85016414878,-0.397265621442,1.2546153485,3.38424663471,0.73682105542,-0.280822170715,1.26870008838,1.33465805618,3.38424663471,0.000853877676741,2.63394104031,0.74518930509,0.69200703963,0.579105309428,-0.250238747343,-0.346395547771,0.500432277355,6.21745997876,-0.0110510248296,0.256454639138,0.285214791314,-0.101508134985,1.27581755615,1.67416519649,3.38424663471,0.90425399972,2.63394104031
r,-5.54444051356,-2.73563052788,-2.40894629763,-4.07149403538,-5.57173265585,-3.42329824268,-4.92370591057,-4.35485644668,-3.30688789083,-3.37834685482,-4.4285520477,-4.97389565509,-2.84426436889,-3.54577979912,-6.50933317431,-4.95981091521,-4.89385294742,-2.84426436889,-2.86036129593,-3.59456996329,-5.4833216985,-0.972155772494,-5.64940569416,-6.47874975093,-6.57490655136,-5.72807872624,-0.0110510248296,2.68960835472,-5.97205636445,-5.94329621228,-6.33001913858,-3.343255535,-1.29624926908,-2.84426436889,-2.18876278794,-3.59456996329
s,-5.27693484959,-3.85441922503,-1.04282834499,-3.80398837141,-5.30422699188,-4.25440486738,-4.6562002466,2.46372955233,-3.03938222687,-3.11084119085,-6.35827096107,-4.70638999112,-2.57675870492,-5.2241842842,-3.35145575244,-4.69230525124,-4.62634728345,-2.57675870492,-5.96015146195,-3.32706429932,-5.21581603453,-5.26899829999,-5.3819000302,-6.21124408697,-6.30740088739,-5.46057306227,0.256454639138,-5.97205636445,3.19586199009,-5.67579054831,-6.06251347461,-4.68518778347,-4.28684014313,-2.57675870492,-5.0567513399,0.680268885915
t,-5.24817469741,-3.82565907286,1.2546153485,1.37226625758,-5.2754668397,-4.2256447152,-4.62744009442,-4.05859063054,0.167431755657,-3.08208103867,-6.32951080889,-4.67762983895,-0.938560640309,-0.305075003807,-6.21306735816,-4.66354509906,-4.59758713127,-2.54799855274,-4.54509694865,-3.29830414714,-5.18705588236,-5.24023814782,-5.35313987802,-6.18248393479,-6.27864073522,-5.43181291009,0.285214791314,-5.94329621228,-5.67579054831,3.25528913239,-6.03375332243,-4.6564276313,-2.06085541362,-2.54799855274,-3.64169682661,-3.29830414714
u,-0.872723688915,-4.21238199916,-2.49940340778,-4.16195114553,-5.662189766,-4.6123676415,-5.01416302072,-4.44531355684,-3.39734500099,-3.46880396497,-6.71623373519,-5.06435276524,-2.93472147904,-5.58214705833,-1.80399973886,-5.05026802536,-3.37487214514,-2.93472147904,-2.42629393796,-3.68502707344,-1.9902598702,-2.40808524925,-5.73986280432,-3.0138587996,1.31363270934,-5.81853583639,-0.101508134985,-6.33001913858,-6.06251347461,-6.03375332243,1.77788814124,-2.84592598026,0.623055241808,-2.93472147904,-3.6229546448,-3.68502707344
v,-3.56442475202,-2.83505630802,-1.12207771665,-2.78462545439,-4.28486407486,-3.23504195036,-3.63683732958,-3.0679878657,-2.02001930985,-2.09147827383,-5.33890804405,2.09679810822,-1.5573957879,-4.20482136719,-4.52931741276,-3.67294233423,-3.60698436643,-1.5573957879,-4.94078854493,-2.3077013823,-4.19645311752,-4.24963538298,-4.36253711318,-5.19188116995,-5.28803797038,-4.44121014525,1.27581755615,-3.343255535,-4.68518778347,-4.6564276313,-2.84592598026,3.36503260966,1.39596186799,-1.5573957879,-4.03738842289,-1.61455420174
w,-3.85922429224,-2.43670866768,-0.723730076307,-2.38627781405,-3.88651643452,-2.83669431003,-1.85219532812,-2.66964022536,-1.62167166951,-1.69313063349,-4.24741322315,-3.28867943377,-1.15904814756,-1.72703218517,-4.82411695298,-3.27459469389,-3.20863672609,-1.15904814756,-3.84929372403,-1.90935374196,-3.79810547718,-0.632411917772,-3.96418947284,-4.79353352961,-4.19654314948,-4.04286250491,1.67416519649,-1.29624926908,-4.28684014313,-2.06085541362,0.623055241808,1.39596186799,3.2153698273,-1.15904814756,-2.94589360199,-1.90935374196
x,-2.14914285402,-0.726627229468,0.986351361907,2.41484607752,-2.17643499631,2.78541013362,-0.835261070471,-0.959558787148,1.88016923793,0.710097985279,-3.2304789655,-1.57859799555,1.93732765177,-1.40324510808,-2.42088833421,-1.56451325567,2.69109945415,2.63047483233,-2.83235946638,2.74516667542,1.67317607673,-0.754911943307,-2.25410803463,-3.0834520914,-3.17960889183,-2.3327810667,3.38424663471,-2.84426436889,-2.57675870492,-2.54799855274,-2.93472147904,-1.5573957879,-1.15904814756,3.49547226982,1.11556309339,-0.199272303751
y,-2.43191091167,-3.20661986445,0.29811819615,0.886862257008,-4.6564276313,2.46413222121,-4.00840088602,-3.43955142213,-1.29297057762,0.4813971489,-4.61185931182,-4.05859063054,-1.92895934434,-1.35750909875,-5.59402814976,-4.04450589066,-1.89910638119,0.268265233,0.121369902189,0.876083122753,-2.95857876152,0.871862503929,-4.73410066961,-5.56344472638,-5.65960152681,-4.81277370169,0.90425399972,-2.18876278794,-5.0567513399,-3.64169682661,-3.6229546448,-4.03738842289,-2.94589360199,1.11556309339,2.27690896775,0.316467334818
z,-2.89944844842,-1.47693282387,1.84548367994,0.876083122753,-2.92674059071,0.762138863404,-2.27871384543,-1.01671720099,-0.661895825699,3.25562925688,-3.9807845599,-2.32890358995,1.88016923793,0.372177941832,-3.86434110917,-2.31481885007,-2.24886088228,-0.199272303751,-0.943607731164,2.0461543754,-2.83832963337,-1.50521753771,-3.00441362903,-3.8337576858,-3.92991448623,-3.0830866611,2.63394104031,-3.59456996329,0.680268885915,-3.29830414714,-3.68502707344,-1.61455420174,-1.90935374196,-0.199272303751,0.316467334818,3.28452860645
