concept,language,word
you,ROMANSH_GRISHUN,ti
you,ROMANSH_SURMIRAN,te
you,ROMANSH_SURSILVAN,ti
you,ROMANSH_VALLADER,tu
you,SARDINIAN_CAMPIDANESE,tuy
you,SARDINIAN_LOGUDARESE,tue
you,SPANISH,ustet
you,TURIA_AROMANIAN,tini
you,VALENCIAN,tu
you,VLACH,tini
star,SANSKRIT,tara
star,ARAGONESE,estrela
star,ARPITAN,etela
star,ASTURIAN,estrella
star,BALEAR_CATALAN,3stEl
star,CATALAN,3streL3
star,CATALAN_2,3stEl
star,CORSICAN,Steda
star,DALMATIAN,stala
star,EMILIANO_CARPIGIANO,stEla
star,EMILIANO_FERRARESE,stEla
star,EMILIANO_REGGIANO,strEla
star,FRENCH,etol
star,FRIULIAN,stelE
star,GALICIAN,Estrela
star,GASCON,estero
star,ITALIAN,stella
star,ITALIAN_GROSSETO_TUSCAN,stela
star,JUDEO_ESPAGNOL,estreya
star,LANGUEDOCIEN,estelo
star,LIGURIAN_GENOESE,stela
star,LIGURIAN_RAPALLO,stela
star,LIGURIAN_STELLA,StEya
star,LOMBARD_BERGAMO,stEla
star,LOMBARD_PLESIO,StEla
star,NEAPOLITAN_CALABRESE,stel3
star,NONES_FASSANO,Steyla
star,NONES_GARDENESE,St3yla
star,OCCITAN_ARANESE,estelo
star,PIEMONTESE_BARBANIA,stEyla
star,PIEMONTESE_CARMAGNOLA,stEyla
star,PIEMONTESE_LANZO_TORINESE,stEyla
star,PIEMONTESE_VERCELLESE,stola
star,PORTUGUESE,3Strela
star,ROMAGNOL_RAVENNATE,ste3la
star,ROMANIAN,stea
star,ROMANIAN_2,stea
star,ROMANIAN_MEGLENO,stew3
star,ROMANSH_GRISHUN,Stayl3
star,ROMANSH_SURMIRAN,stEyl3
star,ROMANSH_SURSILVAN,Steil3
star,ROMANSH_VALLADER,stayl3
star,SARDINIAN,isteda
star,SARDINIAN_CAMPIDANESE,stEda
star,SARDINIAN_LOGUDARESE,isteda
star,SICILIAN_UnnamedInSource,stida
star,SPANISH,estreya
star,VALENCIAN,estrEla
star,VLACH,stiaua
bone,SANSKRIT,3sti
bone,ARAGONESE,geso
bone,ASTURIAN,uesu
bone,BALEAR_CATALAN,os
bone,CATALAN,os
bone,CATALAN_2,os
bone,CORSICAN,osu
bone,DALMATIAN,vuas
bone,EMILIANO_CARPIGIANO,os
bone,EMILIANO_FERRARESE,os
bone,EMILIANO_REGGIANO,os
bone,FRENCH,os
bone,FRIULIAN,ves
bone,GALICIAN,oso
bone,GASCON,os
bone,ITALIAN,osso
bone,ITALIAN_GROSSETO_TUSCAN,oso
bone,JUDEO_ESPAGNOL,gueso
bone,LANGUEDOCIEN,os
bone,LIGURIAN_GENOESE,Esu
bone,LIGURIAN_RAPALLO,osu
bone,LIGURIAN_STELLA,osu
bone,LOMBARD_BERGAMO,os
bone,LOMBARD_PLESIO,os
bone,NEAPOLITAN_CALABRESE,wos3
bone,NONES,os
bone,NONES_FASSANO,os
bone,NONES_GARDENESE,os
bone,OCCITAN_ARANESE,os
bone,PIEMONTESE_BARBANIA,os
bone,PIEMONTESE_CARMAGNOLA,os
bone,PIEMONTESE_LANZO_TORINESE,os
bone,PIEMONTESE_VERCELLESE,os
bone,PORTUGUESE,osu
bone,ROMAGNOL_RAVENNATE,os
bone,ROMANIAN,os
bone,ROMANIAN_2,os
bone,ROMANIAN_MEGLENO,wos
bone,ROMANSH_GRISHUN,os
bone,ROMANSH_SURMIRAN,os
bone,ROMANSH_SURSILVAN,ies
bone,ROMANSH_VALLADER,os
bone,SARDINIAN,osu
bone,SARDINIAN_CAMPIDANESE,osu
bone,SARDINIAN_LOGUDARESE,osu
bone,SICILIAN_UnnamedInSource,osu
bone,SPANISH,weso
bone,TURIA_AROMANIAN,os
bone,VALENCIAN,os
new,SANSKRIT,n3v3
new,ARAGONESE,nuebo
new,ARPITAN,novo
new,ASTURIAN,nuevu
new,BALEAR_CATALAN,now
new,CATALAN,nou
new,CATALAN_2,now
new,DALMATIAN,nuf
new,EMILIANO_CARPIGIANO,nov
new,EMILIANO_FERRARESE,nov
new,EMILIANO_REGGIANO,nov
new,FRENCH,nuvo
new,FRIULIAN,5ouf
new,GALICIAN,nobo
new,GASCON,nau
new,ITALIAN,nwovo
new,ITALIAN_GROSSETO_TUSCAN,novo
new,JUDEO_ESPAGNOL,muevo
new,LANGUEDOCIEN,naw
new,LIGURIAN_GENOESE,nEvu
new,LIGURIAN_RAPALLO,nEvu
new,LIGURIAN_STELLA,nEvu
new,LOMBARD_BERGAMO,nof
new,LOMBARD_PLESIO,nof
new,NEAPOLITAN_CALABRESE,nwov3
new,NONES,neo
new,NONES_FASSANO,nef
new,NONES_GARDENESE,nwef
new,OCCITAN_ARANESE,nau
new,PIEMONTESE_BARBANIA,nov
new,PIEMONTESE_CARMAGNOLA,now
new,PIEMONTESE_LANZO_TORINESE,nov
new,PIEMONTESE_VERCELLESE,nof
new,PORTUGUESE,novu
new,ROMAGNOL_RAVENNATE,no3v
new,ROMANIAN,nou
new,ROMANIAN_2,now
new,ROMANIAN_MEGLENO,now
new,ROMANSH_GRISHUN,nof
new,ROMANSH_SURMIRAN,nof
new,ROMANSH_SURSILVAN,nief
new,ROMANSH_VALLADER,nowf
new,SARDINIAN,nou
new,SARDINIAN_CAMPIDANESE,now
new,SARDINIAN_LOGUDARESE,novu
new,SICILIAN_UnnamedInSource,novu
new,SPANISH,nuevo
new,VALENCIAN,now
new,VLACH,nou
full,SANSKRIT,purn3
full,ARAGONESE,pleno
full,ARPITAN,plE
full,ASTURIAN,Leno
full,BALEAR_CATALAN,plE
full,CATALAN,plE
full,CATALAN_2,plE
full,DALMATIAN,plain
full,EMILIANO_CARPIGIANO,pin
full,EMILIANO_FERRARESE,pin
full,EMILIANO_REGGIANO,pin
full,FRENCH,pl3
full,FRIULIAN,plen
full,GALICIAN,Ceo
full,GASCON,ple
full,ITALIAN,pyEno
full,ITALIAN_GROSSETO_TUSCAN,pyEno
full,JUDEO_ESPAGNOL,yeno
full,LANGUEDOCIEN,ple
full,LIGURIAN_GENOESE,piN
full,LIGURIAN_RAPALLO,piN
full,LIGURIAN_STELLA,CEN
full,LOMBARD_BERGAMO,pye
full,LOMBARD_PLESIO,pyee
full,NEAPOLITAN_CALABRESE,kin3
full,NONES,plen
full,NONES_FASSANO,pye5
full,NONES_GARDENESE,pl35
full,OCCITAN_ARANESE,pleN
full,PIEMONTESE_BARBANIA,pyEN
full,PIEMONTESE_CARMAGNOLA,pyEN
full,PIEMONTESE_LANZO_TORINESE,pyEN
full,PIEMONTESE_VERCELLESE,piN
full,PORTUGUESE,Seyu
full,ROMAGNOL_RAVENNATE,pin
full,ROMANIAN,plin
full,ROMANIAN_2,plin
full,ROMANIAN_MEGLENO,plin
full,ROMANSH_GRISHUN,playn
full,ROMANSH_SURMIRAN,pla5
full,ROMANSH_SURSILVAN,plein
full,ROMANSH_VALLADER,playn
full,SARDINIAN,prenu
full,SARDINIAN_CAMPIDANESE,prenu
full,SARDINIAN_LOGUDARESE,prenu
full,SICILIAN_UnnamedInSource,Cinu
full,SPANISH,yeno
full,VALENCIAN,plE
full,VLACH,mplinu
horn,SANSKRIT,SiNg3m
horn,ARAGONESE,kerno
horn,ASTURIAN,kuernu
horn,BALEAR_CATALAN,ba53
horn,CATALAN,korn
horn,CATALAN_2,ba53
horn,CORSICAN,kori
horn,DALMATIAN,kuarN
horn,EMILIANO_CARPIGIANO,koren
horn,EMILIANO_FERRARESE,koran
horn,EMILIANO_REGGIANO,koren
horn,FRENCH,korn
horn,FRIULIAN,kar
horn,GALICIAN,korno
horn,GASCON,korno
horn,ITALIAN,korno
horn,ITALIAN_GROSSETO_TUSCAN,korno
horn,JUDEO_ESPAGNOL,kuerno
horn,LANGUEDOCIEN,korno
horn,LIGURIAN_GENOESE,kornu
horn,LIGURIAN_RAPALLO,kornu
horn,LIGURIAN_STELLA,kornu
horn,LOMBARD_BERGAMO,koren
horn,LOMBARD_PLESIO,kornu
horn,NEAPOLITAN_CALABRESE,korn3
horn,NONES,korn
horn,NONES_FASSANO,korn
horn,NONES_GARDENESE,korn
horn,OCCITAN_ARANESE,korno
horn,PIEMONTESE_BARBANIA,korn
horn,PIEMONTESE_CARMAGNOLA,korn
horn,PIEMONTESE_LANZO_TORINESE,korn
horn,PIEMONTESE_VERCELLESE,kornu
horn,PORTUGUESE,Sifr3
horn,ROMAGNOL_RAVENNATE,ko3ran
horn,ROMANIAN,korn
horn,ROMANIAN_2,korn
horn,ROMANIAN_MEGLENO,korn
horn,ROMANSH_GRISHUN,korn3
horn,ROMANSH_SURMIRAN,korn3
horn,ROMANSH_SURSILVAN,Ciern
horn,ROMANSH_VALLADER,korn3
horn,SARDINIAN,koru
horn,SARDINIAN_CAMPIDANESE,koru
horn,SARDINIAN_LOGUDARESE,koru
horn,SICILIAN_UnnamedInSource,kornutu
horn,SPANISH,kerno
horn,TURIA_AROMANIAN,kornu
horn,VALENCIAN,ba5a
leaf,SANSKRIT,p3tr3m
leaf,ARAGONESE,fueLa
leaf,ARPITAN,foL3
leaf,ASTURIAN,fueya
leaf,BALEAR_CATALAN,fuL3
leaf,CATALAN,fuL3
leaf,CATALAN_2,fuL3
leaf,CORSICAN,foLa
leaf,DALMATIAN,fuaLa
leaf,EMILIANO_CARPIGIANO,foya
leaf,EMILIANO_FERRARESE,foya
leaf,EMILIANO_REGGIANO,foya
leaf,FRENCH,f3y
leaf,FRIULIAN,feE
leaf,GALICIAN,foLa
leaf,GASCON,wueyo
leaf,ITALIAN,foLa
leaf,ITALIAN_GROSSETO_TUSCAN,foLa
leaf,JUDEO_ESPAGNOL,oxa
leaf,LANGUEDOCIEN,fiElo
leaf,LIGURIAN_GENOESE,foya
leaf,LIGURIAN_RAPALLO,foya
leaf,LIGURIAN_STELLA,fEya
leaf,LOMBARD_BERGAMO,foya
leaf,LOMBARD_PLESIO,foya
leaf,NEAPOLITAN_CALABRESE,foy3
leaf,NONES,foya
leaf,NONES_FASSANO,foa
leaf,NONES_GARDENESE,pleCa
leaf,OCCITAN_ARANESE,ueLo
leaf,PIEMONTESE_BARBANIA,foya
leaf,PIEMONTESE_CARMAGNOLA,foya
leaf,PIEMONTESE_LANZO_TORINESE,foya
leaf,PIEMONTESE_VERCELLESE,foya
leaf,PORTUGUESE,foLa
leaf,ROMAGNOL_RAVENNATE,foya
leaf,ROMANIAN,frunz3
leaf,ROMANIAN_2,foaie
leaf,ROMANIAN_MEGLENO,frunz3
leaf,ROMANSH_GRISHUN,feL
leaf,ROMANSH_SURMIRAN,fiL
leaf,ROMANSH_SURSILVAN,fEL
leaf,ROMANSH_VALLADER,foL3
leaf,SARDINIAN,foza
leaf,SARDINIAN_CAMPIDANESE,fola
leaf,SARDINIAN_LOGUDARESE,foZa
leaf,SICILIAN_UnnamedInSource,fogia
leaf,SPANISH,oha
leaf,VALENCIAN,fuLa
fire,SANSKRIT,3gnih
fire,ARAGONESE,fuego
fire,ASTURIAN,fueu
fire,BALEAR_CATALAN,foT
fire,CATALAN,fok
fire,CATALAN_2,fok
fire,CORSICAN,fogu
fire,DALMATIAN,fuk
fire,EMILIANO_CARPIGIANO,fog
fire,EMILIANO_FERRARESE,fog
fire,EMILIANO_REGGIANO,fog
fire,FRENCH,fe
fire,FRIULIAN,fouk
fire,GALICIAN,lume
fire,GASCON,huek
fire,ITALIAN,fwoko
fire,ITALIAN_GROSSETO_TUSCAN,foko
fire,JUDEO_ESPAGNOL,fuego
fire,LANGUEDOCIEN,fiok
fire,LIGURIAN_GENOESE,fEgu
fire,LIGURIAN_RAPALLO,fEgu
fire,LIGURIAN_STELLA,fE
fire,LOMBARD_BERGAMO,fok
fire,LOMBARD_PLESIO,fok
fire,NEAPOLITAN_CALABRESE,fok3
fire,NONES,fec
fire,NONES_FASSANO,fek
fire,NONES_GARDENESE,fwek
fire,OCCITAN_ARANESE,uek
fire,PIEMONTESE_BARBANIA,fo
fire,PIEMONTESE_CARMAGNOLA,fo
fire,PIEMONTESE_LANZO_TORINESE,fo
fire,PIEMONTESE_VERCELLESE,fok
fire,PORTUGUESE,fogu
fire,ROMAGNOL_RAVENNATE,fug
fire,ROMANIAN,fok
fire,ROMANIAN_2,fok
fire,ROMANIAN_MEGLENO,fok
fire,ROMANSH_GRISHUN,fyew
fire,ROMANSH_SURMIRAN,fi
fire,ROMANSH_SURSILVAN,fug
fire,ROMANSH_VALLADER,fo
fire,SARDINIAN,fogu
fire,SARDINIAN_CAMPIDANESE,foxu
fire,SARDINIAN_LOGUDARESE,fogu
fire,SICILIAN_UnnamedInSource,foku
fire,SPANISH,fuego
fire,VALENCIAN,fok
fire,VLACH,foku
water,SANSKRIT,T3l3m
water,ARAGONESE,auga
water,ARPITAN,Ewa
water,ASTURIAN,agua
water,BALEAR_CATALAN,aigo
water,CATALAN,aix3
water,CATALAN_2,aix3
water,CORSICAN,akwa
water,DALMATIAN,yakua
water,EMILIANO_CARPIGIANO,akwa
water,EMILIANO_FERRARESE,akwa
water,EMILIANO_REGGIANO,akva
water,FRENCH,o
water,FRIULIAN,agE
water,GALICIAN,auga
water,GASCON,aigo
water,ITALIAN,akwa
water,ITALIAN_GROSSETO_TUSCAN,akwa
water,JUDEO_ESPAGNOL,agua
water,LANGUEDOCIEN,aygo
water,LIGURIAN_GENOESE,egwa
water,LIGURIAN_RAPALLO,Egwa
water,LIGURIAN_STELLA,Egwa
water,LOMBARD_BERGAMO,akwa
water,LOMBARD_PLESIO,akwa
water,NEAPOLITAN_CALABRESE,akw3
water,NONES,aka
water,NONES_GARDENESE,Ega
water,OCCITAN_ARANESE,aixuo
water,PIEMONTESE_BARBANIA,Eva
water,PIEMONTESE_CARMAGNOLA,eva
water,PIEMONTESE_LANZO_TORINESE,eva
water,PIEMONTESE_VERCELLESE,akwa
water,PORTUGUESE,Ega
water,ROMAGNOL_RAVENNATE,akva
water,ROMANIAN,ap3
water,ROMANIAN_2,ap3
water,ROMANIAN_MEGLENO,apu
water,ROMANSH_GRISHUN,aw3
water,ROMANSH_SURMIRAN,av3
water,ROMANSH_VALLADER,aw3
water,SARDINIAN,aba
water,SARDINIAN_CAMPIDANESE,aba
water,SARDINIAN_LOGUDARESE,aba
water,SICILIAN_UnnamedInSource,aka
water,SPANISH,aga
water,TURIA_AROMANIAN,apa
water,VALENCIAN,aixa
water,VLACH,apa
dog,SANSKRIT,Sva
dog,ARAGONESE,kan
dog,ARPITAN,Si
dog,ASTURIAN,perru
dog,BALEAR_CATALAN,ka
dog,CATALAN,gos
dog,CATALAN_2,gos
dog,CORSICAN,Takaru
dog,DALMATIAN,kuoN
dog,EMILIANO_CARPIGIANO,kaN
dog,EMILIANO_FERRARESE,kan
dog,EMILIANO_REGGIANO,kan
dog,FRENCH,Sia
dog,FRIULIAN,CaN
dog,GALICIAN,kan
dog,GASCON,ka
dog,ITALIAN,kane
dog,ITALIAN_GROSSETO_TUSCAN,kane
dog,JUDEO_ESPAGNOL,perro
dog,LANGUEDOCIEN,ka
dog,LIGURIAN_GENOESE,kaN
dog,LIGURIAN_RAPALLO,kaN
dog,LIGURIAN_STELLA,kaN
dog,LOMBARD_BERGAMO,ka
dog,LOMBARD_PLESIO,kaN
dog,NEAPOLITAN_CALABRESE,kan3
dog,NONES,cain
dog,NONES_FASSANO,Ta5
dog,NONES_GARDENESE,Ta5
dog,OCCITAN_ARANESE,kaN
dog,PIEMONTESE_BARBANIA,kaN
dog,PIEMONTESE_CARMAGNOLA,kaN
dog,PIEMONTESE_LANZO_TORINESE,kaN
dog,PIEMONTESE_VERCELLESE,kaN
dog,PORTUGUESE,kau
dog,ROMAGNOL_RAVENNATE,kan
dog,ROMANIAN,k3ne
dog,ROMANIAN_2,kaine
dog,ROMANIAN_MEGLENO,koyni
dog,ROMANSH_GRISHUN,Tawn
dog,ROMANSH_SURMIRAN,TaN
dog,ROMANSH_SURSILVAN,Caun
dog,ROMANSH_VALLADER,San
dog,SARDINIAN,kane
dog,SARDINIAN_CAMPIDANESE,kai
dog,SARDINIAN_LOGUDARESE,kane
dog,SICILIAN_UnnamedInSource,kani
dog,SPANISH,pero
dog,VALENCIAN,gos
tree,SANSKRIT,vikS3
tree,ARAGONESE,arbol
tree,ARPITAN,abro
tree,ASTURIAN,arbol
tree,BALEAR_CATALAN,abr3
tree,CATALAN,abr3
tree,CATALAN_2,abr3
tree,CORSICAN,arburu
tree,DALMATIAN,yarbur
tree,EMILIANO_CARPIGIANO,elber
tree,EMILIANO_FERRARESE,arbul
tree,EMILIANO_REGGIANO,Elber
tree,FRENCH,arbr3
tree,FRIULIAN,arbul
tree,GALICIAN,arbore
tree,GASCON,arbe
tree,ITALIAN,albero
tree,ITALIAN_GROSSETO_TUSCAN,pyanta
tree,JUDEO_ESPAGNOL,arvole
tree,LANGUEDOCIEN,arbre
tree,LIGURIAN_GENOESE,erbu
tree,LIGURIAN_RAPALLO,Erbu
tree,LIGURIAN_STELLA,Erbu
tree,LOMBARD_BERGAMO,pyanta
tree,LOMBARD_PLESIO,pyanta
tree,NEAPOLITAN_CALABRESE,ab3r3
tree,NONES,arbol
tree,NONES_GARDENESE,l3N
tree,OCCITAN_ARANESE,arbe
tree,PIEMONTESE_BARBANIA,Erbu
tree,PIEMONTESE_CARMAGNOLA,Erbu
tree,PIEMONTESE_LANZO_TORINESE,pyaNta
tree,PIEMONTESE_VERCELLESE,pyaNta
tree,PORTUGUESE,Ervur3
tree,ROMAGNOL_RAVENNATE,e3lbar
tree,ROMANIAN,pom
tree,ROMANIAN_2,arbore
tree,ROMANIAN_MEGLENO,arbur
tree,ROMANSH_GRISHUN,plant3
tree,ROMANSH_SURMIRAN,plant3
tree,ROMANSH_SURSILVAN,plont3
tree,ROMANSH_VALLADER,bEsS
tree,SARDINIAN,arvure
tree,SARDINIAN_CAMPIDANESE,mata
tree,SARDINIAN_LOGUDARESE,arvure
tree,SICILIAN_UnnamedInSource,arbulu
tree,SPANISH,arbol
